Name,WOD 1,WOD 2,WOD 3
ALANNA FISK,0,0,0
ALISHA THRESHER,0,0,0
AMANDA HERNANDEZ ,0,0,0
AMY  ALDRICH-WITT,0,0,0
ANNA MARIE WRIGHT,0,0,0
ANNEKE BOGARDUS-TUCKER,0,0,0
ANNIE  JOCKISCH,0,0,0
ANTEA LONGO,0,0,0
ANTOINETTE  DODY,0,0,0
APRIL PAYNE,0,0,0
ARIANA DIDOMENICO,0,0,0
BAYLEE VOZZA,0,0,0
BETH WILSON,0,0,0
BETHANY STIEFEL,0,0,0
CAROLYNE  PREVOST,0,0,0
CIERRA SLAVKOVKSY,0,0,0
CORYNNE FRANCIS,0,0,0
COURTNEY SIMS,0,0,0
DEVIN ELLIS,0,0,0
ELLIE  TARENCE,0,0,0
EMMA CHAPMAN,0,0,0
EMMA MCQUAID,0,0,0
GRETCHEN LEE,0,0,0
HAERYUNG KIM,0,0,0
HARRIET ROBERTS,0,0,0
HILARY  STEELE,0,0,0
JUSTINE ANDERSON,0,0,0
KARA MCIVER,0,0,0
KAYLA KELLY,0,0,0
KELSEY CASEY,0,0,0
KRISTAN WORTHY,0,0,0
LANDRI PEDEN,0,0,0
LAURA NICHOLS,0,0,0
LEAH KLUEMPER,0,0,0
LISA ROIVAS,0,0,0
MARIA HAYDEN,0,0,0
MARISOL UMAÑA,0,0,0
MCKENZIE FLINCHUM,0,0,0
MEGAN JONES,0,0,0
MELISSA YORK,0,0,0
MICHELLE  BERMAN,0,0,0
MIRANDA ABBAS,0,0,0
NICOLE RINALDI-SOTO,0,0,0
NICOLE SARDELICH,0,0,0
NISHA  PUREWAL,0,0,0
OLIVIA LEEPER,0,0,0
SAMANTHA  TOLBERT,0,0,0
SAMANTHA BALL,0,0,0
SAVANNAH  CLOSE-IGE ,0,0,0
SIERRA  DORAN ,0,0,0
STACE KONST,0,0,0
SUSANNA SHAW,0,0,0
SUSIE  SU,0,0,0
SYDNEY COLLINS,0,0,0
THAIS NUNES,0,0,0
TOMMIE DEPRIMA,0,0,0
TORI THOMPSON,0,0,0
URACHA TEERAWANITSAN,0,0,0
