Name,WOD 1,WOD 2,WOD 3
DOUGLAS  FERRACINI FERREIRA ,434.0,27.0,255.0
SEAN GREEVERS,497.0,27.0,275.0
LUCAS DOZZI,432.0,26.0,261.0
DAVID CRUZ,474.0,29.0,256.0
RILEY WILSON,518.0,31.0,263.0
AARON  MCNEW,589.0,29.0,297.0
DANIEL HERRON,439.0,27.0,255.0
RIVER WEBB,519.0,28.0,275.0
MICHAEL ROSA,528.0,27.0,280.0
STEVEN  TACKETT ,431.0,28.0,246.0
PAKO GARCIAROJAS,357.0,25.0,248.0
JERRY WHITAKER ,597.0,28.0,315.0
PASQUALE MIRRA,617.0,29.0,307.0
BRIAN PANASUK,461.0,29.0,253.0
TITOV ILYA,507.0,24.0,298.0
CHRISTIAN  OCHOA,515.0,29.0,265.0
ALI SIPAHI,442.0,26.0,256.0
BRIAN LOWE,531.0,30.0,265.0
DAVID TIEZE,471.0,30.0,247.0
ZACH ALDRICH,433.0,27.0,252.0
ANTONIO ROCCO BUGLIONE,452.0,28.0,253.0
ISAI RAMIREZ,429.0,26.0,255.0
FERNANDO  VÉLEZ GUZMÁN ,434.0,28.0,245.0
STEVEN CARON ST-CYR,457.0,27.0,255.0
SERGIO  CARRILLO,517.0,27.0,275.0
KYLE SANTOS,651.0,30.0,302.0
MICHAEL AMOLE,489.0,27.0,265.0
MIKE KELLNER,408.0,29.0,238.0
TONY GRECCO,462.0,27.0,255.0
LANE OVERSEN,539.0,29.0,270.0
STEVE PARENT,521.0,29.0,265.0
WILLIAN GUILLÉN,521.0,29.0,265.0
ALEX  GUERRA,492.0,31.0,245.0
CONNOR WARMAN,521.0,27.0,275.0
MIKE  ORALLO,463.0,26.0,262.0
WILLIAM BÉLANGER,428.0,30.0,235.0
RASHAD  EVANS ,505.0,26.0,275.0
THOMAS SOLECKY,530.0,26.0,282.0
ORLANDO BUSTOS,443.0,28.0,245.0
WILFREDO MENENDEZ,459.0,29.0,245.0
FRANK MORALES,568.0,29.0,275.0
RASHAD WHYCE,578.0,28.0,285.0
DP PRESSLEY ,482.0,23.0,285.0
RYAN HAGAN,462.0,29.0,245.0
DYLAN WILE,339.0,29.0,225.0
FRANKIE RUSSO,360.0,27.0,235.0
EDY  BEZERRA ,384.0,24.0,251.32
RYAN TABLADO,720.0,31.0,315.0
JAKE SWARTWOUT,452.0,27.0,253.5
BARRETT  KOERSELMAN ,607.0,27.0,306.0
MARTIN ROBIDAS,476.0,24.0,275.0
SAM  WHEATLEY,606.0,29.0,281.0
DOMENICK CAMPOREALE,555.0,30.0,265.0
AZAEL BARRERA,457.0,31.0,235.0
DAMIAN WALKER,448.0,24.0,265.0
CHRIS  HOWARD ,586.0,31.0,265.0
RICCARDO GRASSI,391.0,30.0,227.0
DIOGO AZEVEDO SANTIAGO MATOSO,507.0,27.0,265.0
STEPHEN HAUCK,454.0,25.0,260.0
MINO FUENTE,524.0,23.0,330.69
CLINT ROBERTS,488.0,29.0,251.0
JOSE RAUL CROCKER GALINDO,590.0,31.0,265.0
DANIEL PERDUE,501.0,25.0,275.0
MICHAEL DEPASCALE,446.0,30.0,235.0
DAVID FRANCO,514.0,29.0,255.0
ANGELO GERONIMO,565.0,28.0,275.0
JOSEPH OCHOA,444.0,25.0,255.0
AUSTIN PARTRIDGE,596.0,32.0,264.0
ROBERT CABELLO,509.0,25.0,275.0
RAUL  RIVERA,427.0,25.0,250.0
RYAN RAGGIO,575.0,30.0,265.0
CALEB LANDESS,470.0,26.0,255.0
WILLIAM RUFF,451.0,22.0,275.0
CHRIS FAUSTINO,451.0,27.0,245.0
KYLE BARSALOU,435.0,24.0,255.0
DERRIK MILLER,455.0,25.0,255.0
RAYMUNDO SANCHEZ,413.0,24.0,250.0
ANDRES DIAZ,613.0,31.0,265.0
MATIAS BALOGH,510.0,25.0,273.37
ANTHONY TORRENTE,474.0,27.0,250.0
KASEY MCCAULEY,536.0,26.0,275.0
ZACH POLUCHA,561.0,27.0,275.0
SERGIO ORTEGA,547.0,25.0,281.0
JEFF VAN DUSEN,438.0,26.0,245.0
TANAY  PURI ,525.0,27.0,265.0
BENJAMIN SCHAPMAN,519.0,25.0,275.0
BARKLEY FALKNER,488.0,31.0,235.0
DANE HAUKEDAHL,630.0,27.0,295.0
ERICK LAPICE,392.0,22.0,255.0
THOMAS ARM,443.0,26.0,245.0
JAMES SHEAHAN,460.0,31.0,231.49
WILLIAM SCHUERMAN,417.0,27.0,235.0
ISAIAH CARTER,652.0,30.0,275.0
WILL FUCHS,500.0,29.0,245.0
MIKE GRIEGO,524.0,25.0,275.0
MATT FLECK,631.0,31.0,265.0
DWANE ECKES,511.0,27.0,255.0
KEVIN BERGLUND,591.0,35.0,247.0
GLENN MCALEENAN,452.0,24.0,255.0
BURNON  MOMAN,494.0,28.0,245.0
MIKE VIGORITA,401.0,26.0,235.0
BRIAN BYRNE,497.0,26.0,255.0
KALEB CURTIS,665.0,28.0,292.0
SAM HOLTBERG,475.0,27.0,245.0
KEVIN POSNER,494.0,27.0,250.0
TONY DAVIS,622.0,32.0,255.0
JAMES  SMITH,615.0,27.0,277.5
GRANT  CLARK ,515.0,26.0,260.0
PATCH DAVID,411.0,25.0,243.0
TONY HOWARD,478.0,26.0,250.0
FRANCISCO JESUS HERNANDEZ MADRAZO,398.0,25.0,237.0
BRYAN ADAMSON,597.0,26.0,280.0
ALEXANDRE LAROUCHE,577.0,30.0,255.0
BARTHOLOMEW SNYDER,481.0,24.0,260.0
EDUARDO ARAYA,483.0,32.0,225.0
ANDRES  PINEDA,520.0,24.0,275.0
COLLIN SYKES,520.0,27.0,255.0
JACOB HORNIK,720.0,31.0,276.0
BRANDON FARRAR,539.0,28.0,255.0
ALEX LANGEVIN,523.0,27.0,255.0
JAMIE FARRUGIA,238.0,41.0,176.0
GREG HUTH,658.0,27.0,290.0
SIGBERT GUY JR ,719.0,31.0,275.0
JOHN ASHLEY,578.0,23.0,315.0
ADAM  SUNDERHAUS,756.0,30.0,305.0
CESAR MONTERO,563.0,24.0,285.0
TRAVIS BRAULT,467.0,25.0,250.0
LUKE  COPELAND,656.0,28.0,280.0
COLE GRANT,442.0,27.0,235.0
GREG KLOSSNER,556.0,30.0,250.0
BRYAN  MUNOZ-LEON,493.0,25.0,255.0
IAN SMITH,662.0,31.0,265.0
CHRISTIAN RODRIGUEZ,458.0,27.0,240.0
MEL O’NEILL-KING,483.0,28.0,242.0
SAM FORSTER,535.0,24.0,275.0
MAURICIO  NOEL,601.0,25.0,285.0
CHRIS  ENDICOTT ,569.0,31.0,245.0
JEFFREY RUANE,572.0,31.0,245.0
BEN JACOBY,507.0,27.0,248.0
SEAN SPIRE,433.0,26.0,235.0
CHASE CAMPBELL,625.0,27.0,275.0
MICHAEL EMOND,440.0,22.0,255.0
BRENT BALKWILL,476.0,25.0,247.0
GREG HODGKINS,596.0,26.0,275.0
PATRICK WINGLER,479.0,22.0,265.0
DANIEL MATTSSON-BOZE ,505.0,27.0,245.0
DOUGLAS OGAWA,539.0,22.0,285.0
OSCAR GOMEZ ,586.0,31.0,245.0
CJ VILA,413.0,26.0,232.0
ANDREW MAHLE,423.0,24.0,242.0
BRANDON STABLEY,652.0,27.0,276.0
GARY SAMSON,549.0,24.0,275.0
ALEX MAININI,506.0,19.0,300.0
FRANKLIN MATAMOROS,504.0,23.0,265.0
CODY CAMPBELL,574.0,22.0,305.0
DYLAN SANDERS,593.0,29.0,255.0
JIMMY HUOT,562.0,26.0,265.0
JASON FREEMAN,513.0,26.0,253.0
MARCUS MOREIRA,553.0,24.0,275.0
MARCOS PACHECO,451.0,22.0,255.0
DANIEL  SANCHEZ ,465.0,44.0,205.0
ERIK  BECK,524.0,24.0,265.0
TYLER CANTRELL,438.0,27.0,230.0
ROBERTO FISHMAN,642.0,27.0,275.0
CHRIS MURRAY,682.0,27.0,280.0
DEREK SHOEMAKE,533.0,28.0,245.0
MATTHEW GLESSNER,616.0,28.0,265.0
DYLAN VANGILDER,481.0,22.0,260.0
SHANE  HAMEL-SMITH,499.0,26.0,245.0
MATT OMIECINSKI,519.0,25.0,255.0
JACOB JABBOUR,682.0,26.0,287.0
JOSEPH GRANIERI,501.0,26.0,245.0
ANTHONY CARREIRO,653.0,25.0,287.0
GREG TOBEY,635.0,30.0,255.0
ABEL LARA,462.0,22.0,255.0
NICHOLAS  MICHAEL ,627.0,28.0,265.0
KAREEM  BRINSON,418.0,24.0,235.0
KYLE HALL,673.0,31.0,257.0
JONATHAN BONNEAU,625.0,26.0,275.0
ALEX DESMARAIS,466.0,24.0,245.0
JONATHAN MENDEZ,439.0,25.0,235.0
LAWRENCE BELAS,567.0,29.0,247.0
MANUEL PINEDA,488.0,25.0,245.0
BRETT GIBSON,660.0,27.0,275.0
MICHAEL  HAYDEN ,526.0,25.0,255.0
ALEJANDRO  PEREZ DOLZ ,502.0,28.0,235.0
ALEXANDER PERSON,542.0,27.0,250.0
ADAM  CASPER,427.0,24.0,235.0
RICK CHAVEZ,526.0,27.0,245.0
ZACHARY SALTERS,496.0,24.0,250.0
AMAURY PASAPERA,512.0,25.0,250.0
KEVIN SINGLETON,682.0,31.0,255.0
FRANCO MEDICI,515.0,21.0,275.0
TIM PLETCHER,443.0,27.0,225.0
CHADWICK GINN,538.0,30.0,235.0
BO  AARTUN,444.0,27.0,225.0
MICHAEL MARCIONESE,520.0,26.0,247.0
MARIO FUENTES ,556.0,26.0,255.0
MARK SIMON ,759.0,28.0,295.0
ZAC PEPIN,421.0,25.0,231.0
ANDREW MERRICK,681.0,29.0,265.0
PAUL PAILLARD,550.0,24.0,265.0
CHRISTOPHER  DOPKOWSKI ,628.0,31.0,245.0
CODY CASTROW,438.0,24.0,235.0
DAVID STEFFEN,685.0,30.0,261.0
SAMUEL HERNANDO TRUJILLO SALAZAR,519.0,26.0,245.0
MARCELO MERZARI,513.0,27.0,242.5
JOHNATHAN  MARKMAN,372.0,23.0,227.0
KOBY SMITH,418.0,21.0,245.0
MARCUS WASHINGTON,543.0,25.0,255.0
TRISTAN VEILLEUX,522.0,24.0,255.0
JUSTIN BRAGG,516.0,28.0,235.0
PAT WALKER,720.0,25.0,306.0
ANDREW VENEZIANO,450.0,26.0,230.0
TIM KILLEEN,468.0,23.0,245.0
ABEL GRULLON,490.0,26.0,237.0
JOHN PHILLIPS,410.0,24.0,230.0
JULIAN SEEKINS,494.0,29.0,225.0
JOSH FLOWERS,514.0,24.0,253.0
KEVIN REAL,519.0,21.0,270.0
HADEN WILKINSON,491.0,24.0,245.0
DUSTIN  JOSEPH ,765.0,38.0,255.0
BRANDON BARKER,540.0,29.0,237.0
DANIEL DARBY,575.0,26.0,255.0
JOSH ANDERSON,529.0,24.0,255.0
SEAN MARINO,628.0,27.0,261.0
MARIO  SAMPERIO,494.0,22.0,255.0
JORGE SANCHEZ,636.0,25.0,275.0
JESSE LAW,720.0,28.0,275.0
MICHAEL TEETER,479.0,27.0,230.0
ZACH WILSON,451.0,22.0,245.0
MAURICIO GUERRERO,453.0,22.0,245.0
SEBASTIAN JURADO,475.0,24.0,241.0
CONNOR  PENN ,515.0,20.0,275.0
RHILEY  GOMEZ,535.0,26.0,245.0
WILLIAM NOETHIG,529.0,21.0,270.0
TRAVIS WILLIAMS,581.0,25.0,257.0
REECE SHELTON,615.0,26.0,257.0
ADAM MUIR,518.0,27.0,235.0
CHRISTIAN BEIERSCHMITT,496.0,23.0,245.0
CARLOS FLEURY,556.0,24.0,255.0
BRANDON MORROW,561.0,28.0,240.0
JOHN DAVID GILBERT,806.0,26.0,307.0
FRANKLIN BRAVO,497.0,27.0,225.0
MIKE  SACCOMANI,473.0,24.0,235.0
LEE CONTRERAS,655.0,26.0,265.0
CHRISTIAN  HERNANDEZ ,587.0,25.0,255.0
PETER SUAREZ,489.0,21.0,251.0
KEEGAN MCGEE,864.0,30.0,275.0
CHRISTOPHER PALIANI,534.0,25.0,245.0
CALEB SILVEY,630.0,25.0,265.0
ADRIAN GRANADOS,479.0,22.0,245.0
ROBERT YATES,549.0,27.0,241.0
SANTIAGO CASTANEDA,531.0,27.0,235.0
RYAN  ZIRGER,567.0,23.0,260.0
MICHAEL CUMBERLIDGE,439.0,20.0,245.0
DAVID BLANKINSHIP,498.0,25.0,235.0
TRAVIS STEPHENSON,510.0,23.0,245.0
TERRENCE THAMES,518.0,26.0,235.0
RYAN FOX,511.0,23.0,245.0
KYLE EDRALIN,440.0,22.0,235.0
JOSEPH VIEIRA,467.0,19.0,255.0
RICKY HARVEY,526.0,24.0,245.0
JEFF SCOTT,565.0,22.0,265.0
DANNY BOULET,541.0,21.0,265.0
ADRIAN GOMEZ,529.0,24.0,245.0
ANDRE WILLIAMS,580.0,21.0,275.0
VICTOR ZAMUDIO,469.0,23.0,235.0
BRANDON CARON,550.0,22.0,257.0
DAVID LEFEBVRE,554.0,24.0,250.0
GREGORY DEIRMENDJIAN,427.0,23.0,225.0
JOSE BELTRAN,427.0,22.0,230.0
SAM KING,488.0,26.0,225.0
JOHN JOHNSON,532.0,24.0,245.0
CALEN CRIM,481.0,25.0,230.0
CESAR  SIBAJA,587.0,21.0,275.0
DAVID GRULLON,518.0,23.0,245.0
MITCHELL FLISS,449.0,24.0,225.0
CHRIS TAMARU,640.0,28.0,245.0
BRANDON SMITH,536.0,24.0,245.0
CALEB  BENNETT,849.0,27.0,285.0
JUSTIN REMENTER,614.0,25.0,255.0
ETHAN WOMACK,550.0,21.0,265.0
DAN NIDES,498.0,22.0,245.0
JACK ZEHLER,560.0,25.0,245.0
SAM EBERLE,720.0,27.0,265.0
JONATHAN  RAYMOND ,592.0,25.0,250.0
REED COOPER,625.0,22.0,275.0
ROBBIE  FLORES,655.0,26.0,255.0
TERRANCE  GOMEZ ,538.0,26.0,235.0
MITCHELL MARINACK,498.0,23.0,237.0
AUSTIN CHILDS,347.0,22.0,215.0
JIMMY KELLY,442.0,23.0,225.0
CHRIS LANEY,720.0,35.0,235.0
JOSH KONDAKOR,543.0,25.0,244.0
CHAMYL DE CUBA,661.0,26.0,255.0
DILLON NGUYEN,484.0,19.0,253.0
ROME DUNCAN,608.0,21.0,275.0
ANTHONY LUNA,511.0,20.0,255.0
FRANCO DUBOC,664.0,26.0,255.0
HUTCH  ROMANOS,498.0,25.0,230.0
AARON PIERING,610.0,24.0,255.0
NICK MAY,511.0,24.0,235.0
JUSTIN WHITEHEAD,423.0,22.0,225.0
JOSE  DEL PINO,601.0,22.0,265.0
AUSTIN KNOX,543.0,20.0,265.0
ELVEZ SOSA,528.0,24.0,240.0
ESTEBAN  PRADA,574.0,21.0,265.0
LEIF KRONBERG,403.0,23.0,215.0
NATHAN GRONEWOLLER,874.0,28.0,275.0
ISANDER BAÑOS,430.0,22.0,225.0
STEVE  MCELROY,746.0,29.0,255.0
DAVID SAMPERI,454.0,23.0,225.0
ANTONIO BARRIGA,512.0,26.0,225.0
